sample_id,sample_date,k_daily_mean,no3_daily_mean
Q1,1989-03-07T00:00:00Z,0.83,151.81
Q1,1989-03-09T00:00:00Z,NA,NA
Q1,1989-03-14T00:00:00Z,NA,6.25
Q1,1989-03-21T00:00:00Z,0.79,148.39
Q1,1989-03-28T00:00:00Z,0.79,147.24
Q1,1989-04-04T00:00:00Z,0.82,146.32
Q1,1989-04-11T00:00:00Z,0.84,143.02
Q1,1989-04-18T00:00:00Z,0.78,114.21
Q1,1989-04-25T00:00:00Z,0.88,146.92
Q1,1989-05-02T00:00:00Z,0.91,134.64
Q1,1989-05-09T00:00:00Z,0.99,148.02
Q1,1989-05-16T00:00:00Z,0.89,149.17
Q1,1989-05-23T00:00:00Z,0.86,142.48
Q1,1989-05-30T00:00:00Z,0.88,143.75
Q1,1989-06-06T00:00:00Z,1.4,134.36
Q1,1989-06-13T00:00:00Z,0.82,128.55
Q1,1989-06-20T00:00:00Z,0.81,141.1
Q1,1989-06-27T00:00:00Z,0.83,161.33
Q1,1989-07-05T00:00:00Z,0.89,10
Q1,1989-07-11T00:00:00Z,1.02,123
Q1,1989-07-18T00:00:00Z,1.02,2.5
Q1,1989-07-26T00:00:00Z,0.95,118.79
Q1,1989-08-01T00:00:00Z,0.92,134
Q1,1989-08-08T00:00:00Z,0.99,91
Q1,1989-08-15T00:00:00Z,0.98,95
Q1,1989-08-22T00:00:00Z,0.9,199.57
Q1,1989-08-29T00:00:00Z,0.9,36.4
Q1,1989-09-05T00:00:00Z,0.87,21.84
Q1,1989-09-12T00:00:00Z,0.91,2.5
Q1,1989-09-20T00:00:00Z,NA,NA
Q1,1989-09-22T00:00:00Z,0.99,9.91
Q1,1989-09-26T00:00:00Z,1.245,2.5
Q1,1989-10-03T00:00:00Z,0.98,2.5
Q1,1989-10-05T00:00:00Z,1.26,2.5
Q1,1989-10-10T00:00:00Z,0.91,89.11
Q1,1989-10-17T00:00:00Z,1.04,2.5
Q1,1989-10-24T00:00:00Z,1.19,250.91
Q1,1989-10-31T00:00:00Z,1.23,337.8
Q1,1989-11-07T00:00:00Z,1.66,420.4
Q1,1989-11-08T00:00:00Z,2.63,1364.9
Q1,1989-11-14T00:00:00Z,1.33,291.4
Q1,1989-11-21T00:00:00Z,1.13,156.1
Q1,1989-11-28T00:00:00Z,0.93,184.7
Q1,1989-12-05T00:00:00Z,0.82,147
Q1,1989-12-12T00:00:00Z,0.83,164
Q1,1989-12-19T00:00:00Z,0.8,148
Q1,1989-12-26T00:00:00Z,0.96,27
Q1,1990-01-02T00:00:00Z,2.98,NA
Q1,1990-01-09T00:00:00Z,0.95,38.07
Q1,1990-01-16T00:00:00Z,1,73.29
Q1,1990-01-23T00:00:00Z,1.05,10.09
Q1,1990-01-30T00:00:00Z,1.02,16.75
Q1,1990-02-06T00:00:00Z,0.97,155.67
Q1,1990-02-13T00:00:00Z,1.08,211.99
Q1,1990-02-20T00:00:00Z,1.21,267.18
Q1,1990-02-27T00:00:00Z,1.16,171
Q1,1990-03-06T00:00:00Z,0.94,119
Q1,1990-03-13T00:00:00Z,2.25,NA
Q1,1990-03-20T00:00:00Z,1.29,489.66
Q1,1990-03-27T00:00:00Z,1.19,258.71
Q1,1990-04-03T00:00:00Z,1.03,NA
Q1,1990-04-10T00:00:00Z,0.95,7.63
Q1,1990-04-17T00:00:00Z,0.94,42.25
Q1,1990-04-24T00:00:00Z,0.97,53
Q1,1990-04-25T00:00:00Z,2.0366666666666666,1293.3333333333333
Q1,1990-04-26T00:00:00Z,1.49,242.78
Q1,1990-05-01T00:00:00Z,1.09,193
Q1,1990-05-08T00:00:00Z,1.15,189
Q1,1990-05-10T00:00:00Z,1.83,737
Q1,1990-05-15T00:00:00Z,1.14,204
Q1,1990-05-22T00:00:00Z,1.14,163
Q1,1990-05-29T00:00:00Z,1.24,142
Q1,1990-06-05T00:00:00Z,1.16,10
Q1,1990-06-12T00:00:00Z,1.19,154
Q1,1990-06-19T00:00:00Z,1.24,170
Q1,1990-06-26T00:00:00Z,1.29,203
Q1,1990-07-03T00:00:00Z,1,109
Q1,1990-07-10T00:00:00Z,1.03,119
Q1,1990-07-17T00:00:00Z,0.93,77
Q1,1990-07-24T00:00:00Z,1.7,445
Q1,1990-07-31T00:00:00Z,0.86,7
Q1,1990-08-07T00:00:00Z,0.89,49
Q1,1990-08-14T00:00:00Z,1.29,250
Q1,1990-08-21T00:00:00Z,0.86,90
Q1,1990-08-28T00:00:00Z,0.78,10
Q1,1990-09-04T00:00:00Z,0.78,10
Q1,1990-09-11T00:00:00Z,0.76,2.5
Q1,1990-09-18T00:00:00Z,0.79,2.5
Q1,1990-09-25T00:00:00Z,0.81,2.5
Q1,1990-10-02T00:00:00Z,1,76.12
Q1,1990-10-09T00:00:00Z,0.98,48.14
Q1,1990-10-16T00:00:00Z,0.87,9.32
Q1,1990-10-23T00:00:00Z,0.95,67.16
Q1,1990-10-30T00:00:00Z,1.19,129.62
Q1,1990-11-06T00:00:00Z,1.04,257.4
Q1,1990-11-13T00:00:00Z,0.97,112.96
Q1,1990-11-20T00:00:00Z,0.85,75
Q1,1990-11-27T00:00:00Z,0.95,141.79
Q1,1990-12-04T00:00:00Z,1.135,121.685
Q1,1990-12-11T00:00:00Z,0.78,7.35
Q1,1990-12-14T00:00:00Z,2.14,300
Q1,1990-12-18T00:00:00Z,0.69,86.77
Q1,1990-12-25T00:00:00Z,0.86,121.21
Q1,1990-12-31T00:00:00Z,1.23,233.08
Q1,1991-01-08T00:00:00Z,1.07,131.14
Q1,1991-01-15T00:00:00Z,0.79,NA
Q1,1991-01-22T00:00:00Z,0.67,176.22
Q1,1991-01-29T00:00:00Z,0.77,187.5
Q1,1991-02-05T00:00:00Z,0.83,NA
Q1,1991-02-12T00:00:00Z,0.8,28.16
Q1,1991-02-19T00:00:00Z,1.12,12.84
Q1,1991-02-26T00:00:00Z,0.86,88.65
Q1,1991-03-05T00:00:00Z,0.7,73.64
Q1,1991-03-12T00:00:00Z,0.79,47.24
Q1,1991-03-19T00:00:00Z,0.81,157.87
Q1,1991-03-22T00:00:00Z,NA,NA
Q1,1991-03-26T00:00:00Z,0.71,112.62
Q1,1991-04-02T00:00:00Z,0.75,78.19
Q1,1991-04-09T00:00:00Z,0.77,36.19
Q1,1991-04-15T00:00:00Z,0.9,23.14
Q1,1991-04-23T00:00:00Z,0.93,19.41
Q1,1991-04-30T00:00:00Z,0.78,30.59
Q1,1991-05-07T00:00:00Z,0.89,69.74
Q1,1991-05-14T00:00:00Z,0.96,10
Q1,1991-05-21T00:00:00Z,0.89,10
Q1,1991-05-28T00:00:00Z,0.89,21.63
Q1,1991-05-31T00:00:00Z,0.92,NA
Q1,1991-06-01T00:00:00Z,NA,NA
Q1,1991-06-04T00:00:00Z,0.92,135.9
Q1,1991-06-11T00:00:00Z,1.15,73.47
Q1,1991-06-18T00:00:00Z,0.87,54.93
Q1,1991-06-25T00:00:00Z,0.92,2.5
Q1,1991-07-02T00:00:00Z,1.17,62.9
Q1,1991-07-09T00:00:00Z,0.89,69.19
Q1,1991-07-16T00:00:00Z,0.52,10
Q1,1991-07-23T00:00:00Z,0.25,10.4
Q1,1991-07-30T00:00:00Z,0.69,10
Q1,1991-08-06T00:00:00Z,0.83,10
Q1,1991-08-13T00:00:00Z,0.74,2.5
Q1,1991-08-20T00:00:00Z,0.79,16.59
Q1,1991-08-27T00:00:00Z,1.16,72.49000000000001
Q1,1991-09-03T00:00:00Z,0.94,68.61
Q1,1991-09-10T00:00:00Z,2.55,74.77
Q1,1991-09-17T00:00:00Z,0.96,31.36
Q1,1991-09-24T00:00:00Z,0.99,65.39
Q1,1991-10-01T00:00:00Z,0.97,82.58
Q1,1991-10-08T00:00:00Z,1.1,68.52
Q1,1991-10-15T00:00:00Z,0.96,80.67
Q1,1991-10-22T00:00:00Z,0.79,74.05
Q1,1991-10-29T00:00:00Z,0.73,54.32
Q1,1991-11-05T00:00:00Z,1.15,100.36
Q1,1991-11-07T00:00:00Z,1.76,44.34
Q1,1991-11-08T00:00:00Z,1.19,57.27
Q1,1991-11-12T00:00:00Z,1.33,150.4
Q1,1991-11-18T00:00:00Z,0.93,85.27
Q1,1991-11-22T00:00:00Z,1.51,104.38
Q1,1991-11-26T00:00:00Z,1.21,144.9
Q1,1991-12-03T00:00:00Z,1.1,99.51
Q1,1991-12-10T00:00:00Z,0.99,337.91
Q1,1991-12-17T00:00:00Z,1.04,166.56
Q1,1991-12-23T00:00:00Z,1.05,163.61
Q1,1991-12-30T00:00:00Z,1.09,NA
Q1,1992-01-07T00:00:00Z,1.31,216.45
Q1,1992-01-14T00:00:00Z,1.18,200.18
Q1,1992-01-21T00:00:00Z,1.35,177
Q1,1992-01-28T00:00:00Z,1.29,171.21
Q1,1992-02-04T00:00:00Z,1.3,323.51
Q1,1992-02-06T00:00:00Z,1.59,17.21
Q1,1992-02-11T00:00:00Z,1.04,100.79
Q1,1992-02-18T00:00:00Z,1.01,291.03
Q1,1992-02-25T00:00:00Z,0.99,138.26
Q1,1992-03-03T00:00:00Z,1.13,174.11
Q1,1992-03-10T00:00:00Z,1.06,9.98
Q1,1992-03-17T00:00:00Z,1.1,132.86
Q1,1992-03-24T00:00:00Z,1.01,NA
Q1,1992-04-01T00:00:00Z,1.56,87
Q1,1992-04-07T00:00:00Z,0.74,36.07
Q1,1992-04-14T00:00:00Z,1.03,10.92
Q1,1992-04-21T00:00:00Z,1.37,48.64
Q1,1992-04-28T00:00:00Z,0.44,29.88
Q1,1992-05-05T00:00:00Z,1.07,26.81
Q1,1992-05-12T00:00:00Z,0.97,136.51
Q1,1992-05-19T00:00:00Z,0.91,127.73
Q1,1992-05-26T00:00:00Z,1.34,NA
Q1,1992-06-02T00:00:00Z,1.33,66.48
Q1,1992-06-09T00:00:00Z,1,9.98
Q1,1992-06-16T00:00:00Z,1.2,27.16
Q1,1992-06-23T00:00:00Z,0.98,31.71
Q1,1992-06-30T00:00:00Z,1.15,31.39
Q1,1992-07-07T00:00:00Z,1.13,110.94
Q1,1992-07-14T00:00:00Z,1.31,40.89
Q1,1992-07-21T00:00:00Z,1.09,NA
Q1,1992-07-28T00:00:00Z,1.18,147.68
Q1,1992-08-04T00:00:00Z,1.11,359.4
Q1,1992-08-11T00:00:00Z,1.13,25.75
Q1,1992-08-18T00:00:00Z,1.08,26.82
Q1,1992-08-25T00:00:00Z,1.11,382.31
Q1,1992-09-01T00:00:00Z,1,10
Q1,1992-09-08T00:00:00Z,1.16,10
Q1,1992-09-15T00:00:00Z,1.36,15.9
Q1,1992-09-22T00:00:00Z,1.05,10
Q1,1992-09-29T00:00:00Z,1,83.6
Q1,1992-10-06T00:00:00Z,0.94,288.03
Q1,1992-10-13T00:00:00Z,1.27,2.5
Q1,1992-10-20T00:00:00Z,0.87,56.48
Q1,1992-10-27T00:00:00Z,0.91,2.5
Q1,1992-11-03T00:00:00Z,1.03,9.83
Q1,1992-11-10T00:00:00Z,1.11,134.65
Q1,1992-11-17T00:00:00Z,0.41,20.28
Q1,1992-11-24T00:00:00Z,1.14,15.84
Q1,1992-12-01T00:00:00Z,1.19,9.36
Q1,1992-12-08T00:00:00Z,1.06,15.19
Q1,1992-12-15T00:00:00Z,0.41,25.98
Q1,1992-12-22T00:00:00Z,NA,NA
Q1,1992-12-29T00:00:00Z,1.04,NA
Q1,1993-01-05T00:00:00Z,1.44,NA
Q1,1993-01-12T00:00:00Z,1.14,NA
Q1,1993-01-19T00:00:00Z,1.14,NA
Q1,1993-01-26T00:00:00Z,1.17,NA
Q1,1993-02-02T00:00:00Z,1.06,NA
Q1,1993-02-09T00:00:00Z,1,NA
Q1,1993-02-16T00:00:00Z,1.09,NA
Q1,1993-02-23T00:00:00Z,0.9,NA
Q1,1993-03-02T00:00:00Z,1.24,19.65
Q1,1993-03-09T00:00:00Z,1.09,193.85
Q1,1993-03-16T00:00:00Z,0.99,63.48
Q1,1993-03-23T00:00:00Z,1.04,135.33
Q1,1993-03-30T00:00:00Z,1.46,176.9
Q1,1993-04-06T00:00:00Z,1.22,163.35
Q1,1993-04-13T00:00:00Z,1.28,171.71
Q1,1993-04-20T00:00:00Z,1.56,138.04
Q1,1993-04-27T00:00:00Z,0.84,182.55
Q1,1993-05-04T00:00:00Z,1.04,9.03
Q1,1993-05-11T00:00:00Z,1.07,12.2
Q1,1993-05-18T00:00:00Z,1.07,9.94
Q1,1993-05-25T00:00:00Z,1.64,5.64
Q1,1993-06-01T00:00:00Z,1.35,16.94
Q1,1993-06-08T00:00:00Z,1.11,75.23
Q1,1993-06-15T00:00:00Z,1,36.82
Q1,1993-06-22T00:00:00Z,1.12,26.43
Q1,1993-06-29T00:00:00Z,1.19,17.17
Q1,1993-07-06T00:00:00Z,0.85,55.35
Q1,1993-07-13T00:00:00Z,1.05,NA
Q1,1993-07-20T00:00:00Z,0.92,NA
Q1,1993-07-27T00:00:00Z,1.05,NA
Q1,1993-08-03T00:00:00Z,1.1,2.5
Q1,1993-08-10T00:00:00Z,0.87,61.22
Q1,1993-08-17T00:00:00Z,1.17,6.32
Q1,1993-08-24T00:00:00Z,0.98,10.84
Q1,1993-08-31T00:00:00Z,1.05,20.78
Q1,1993-09-07T00:00:00Z,0.83,123.58
Q1,1993-09-14T00:00:00Z,1.49,8.81
Q1,1993-09-21T00:00:00Z,1.01,192.49
Q1,1993-09-28T00:00:00Z,1,9.03
Q1,1993-10-05T00:00:00Z,1.07,8.81
Q1,1993-10-13T00:00:00Z,1.21,7
Q1,1993-10-19T00:00:00Z,1.42,7.45
Q1,1993-10-26T00:00:00Z,1.04,8.35
Q1,1993-11-02T00:00:00Z,0.87,5.64
Q1,1993-11-09T00:00:00Z,0.92,7.68
Q1,1993-11-16T00:00:00Z,1.49,6.32
Q1,1993-11-23T00:00:00Z,1.47,22.36
Q1,1993-11-30T00:00:00Z,1.02,15.58
Q1,1993-12-07T00:00:00Z,0.84,25.07
Q1,1993-12-14T00:00:00Z,1.02,13.78
Q1,1993-12-21T00:00:00Z,1.3,50.15
Q1,1993-12-28T00:00:00Z,1.15,NA
Q1,1994-01-04T00:00:00Z,1.34,NA
Q1,1994-01-11T00:00:00Z,0.95,NA
Q1,1994-01-18T00:00:00Z,0.85,NA
Q1,1994-01-25T00:00:00Z,0.88,2.5
Q1,1994-02-01T00:00:00Z,0.94,8.81
Q1,1994-02-08T00:00:00Z,1.09,17.39
Q1,1994-02-15T00:00:00Z,0.79,2.5
Q1,1994-02-22T00:00:00Z,1.35,20.56
Q1,1994-03-01T00:00:00Z,1.2,2.5
Q1,1994-03-08T00:00:00Z,0.95,2.5
Q1,1994-03-15T00:00:00Z,0.95,7.45
Q1,1994-03-22T00:00:00Z,1.07,2.5
Q1,1994-03-29T00:00:00Z,0.94,2.5
Q1,1994-04-05T00:00:00Z,0.93,2.5
Q1,1994-04-12T00:00:00Z,1.01,141.66
Q1,1994-04-19T00:00:00Z,1.14,176.68
Q1,1994-04-26T00:00:00Z,1,16.71
Q1,1994-05-03T00:00:00Z,0.88,19.43
Q1,1994-05-10T00:00:00Z,1.35,14
Q1,1994-05-17T00:00:00Z,1.1,25.07
Q1,1994-05-24T00:00:00Z,1.13,18.07
Q1,1994-05-31T00:00:00Z,1.22,16.26
Q1,1994-06-07T00:00:00Z,1.12,17.39
Q1,1994-06-14T00:00:00Z,1.21,19.88
Q1,1994-06-21T00:00:00Z,1.34,11.29
Q1,1994-06-28T00:00:00Z,1.14,2.5
Q1,1994-06-30T00:00:00Z,1.14,152.28
Q1,1994-07-05T00:00:00Z,0.98,12.65
Q1,1994-07-12T00:00:00Z,1.28,102.12
Q1,1994-07-19T00:00:00Z,1.49,111.61
Q1,1994-07-26T00:00:00Z,1.05,NA
Q1,1994-08-02T00:00:00Z,1.16,NA
Q1,1994-08-09T00:00:00Z,1.04,NA
Q1,1994-08-16T00:00:00Z,1.07,NA
Q1,1994-08-23T00:00:00Z,1.05,NA
Q1,1994-08-30T00:00:00Z,1.37,NA
Q1,1994-09-06T00:00:00Z,1.78,NA
Q1,1994-09-13T00:00:00Z,0.89,NA
Q1,1994-09-20T00:00:00Z,1.7,NA
Q1,1994-09-27T00:00:00Z,0.87,NA
Q1,1994-10-04T00:00:00Z,0.83,NA
Q1,1994-10-11T00:00:00Z,1.21,NA
Q1,1994-10-18T00:00:00Z,0.94,NA
Q1,1994-10-25T00:00:00Z,1.34,NA
Q1,1994-11-01T00:00:00Z,1.2,NA
Q1,1994-11-08T00:00:00Z,1.35,NA
Q1,1994-11-15T00:00:00Z,1.25,NA
Q1,1994-11-22T00:00:00Z,1.03,NA
Q1,1994-11-29T00:00:00Z,1.01,NA
Q1,1994-12-06T00:00:00Z,0.65,108.76
Q1,1994-12-13T00:00:00Z,0.99,NA
Q1,1994-12-20T00:00:00Z,1.45,NA
Q1,1994-12-27T00:00:00Z,0.94,NA
Q1,1995-01-03T00:00:00Z,1.29,NA
Q1,1995-01-10T00:00:00Z,1.27,NA
Q1,1995-01-17T00:00:00Z,1.13,NA
Q1,1995-01-24T00:00:00Z,NA,NA
Q1,1995-01-31T00:00:00Z,1.84,NA
Q1,1995-02-07T00:00:00Z,1.58,NA
Q1,1995-02-14T00:00:00Z,1.21,NA
Q1,1995-02-21T00:00:00Z,0.3,NA
Q1,1995-02-28T00:00:00Z,1.23,NA
Q1,1995-03-07T00:00:00Z,0.96,NA
Q1,1995-03-14T00:00:00Z,1.09,NA
Q1,1995-03-21T00:00:00Z,1.03,NA
Q1,1995-03-28T00:00:00Z,0.94,NA
Q1,1995-04-04T00:00:00Z,0.91,NA
Q1,1995-04-11T00:00:00Z,0.91,NA
Q1,1995-04-18T00:00:00Z,0.88,NA
Q1,1995-04-25T00:00:00Z,NA,NA
Q1,1995-05-02T00:00:00Z,NA,NA
Q1,1995-05-09T00:00:00Z,NA,NA
Q1,1995-05-16T00:00:00Z,1.64,NA
Q1,1995-05-23T00:00:00Z,1.55,NA
Q1,1995-05-30T00:00:00Z,NA,NA
Q1,1995-06-06T00:00:00Z,NA,NA
Q1,1995-06-13T00:00:00Z,NA,NA
Q1,1995-06-20T00:00:00Z,1.05,NA
Q1,1995-06-27T00:00:00Z,1.01,NA
Q1,1995-07-05T00:00:00Z,NA,NA
Q1,1995-07-11T00:00:00Z,0.84,NA
Q1,1995-07-18T00:00:00Z,0.83,NA
Q1,1995-07-26T00:00:00Z,1.05,NA
Q1,1995-08-01T00:00:00Z,NA,NA
Q1,1995-08-08T00:00:00Z,NA,NA
Q1,1995-08-15T00:00:00Z,NA,NA
Q1,1995-08-22T00:00:00Z,NA,NA
Q1,1995-08-29T00:00:00Z,NA,NA
Q1,1995-09-12T00:00:00Z,NA,NA
Q1,1995-09-19T00:00:00Z,NA,NA
Q1,1995-09-26T00:00:00Z,NA,NA
Q1,1995-10-03T00:00:00Z,NA,NA
Q1,1995-10-10T00:00:00Z,NA,NA
Q1,1995-10-17T00:00:00Z,NA,NA
Q1,1995-10-24T00:00:00Z,NA,NA
Q1,1995-10-31T00:00:00Z,NA,NA
Q1,1995-11-07T00:00:00Z,NA,NA
Q1,1995-11-14T00:00:00Z,NA,NA
Q1,1995-11-21T00:00:00Z,NA,NA
Q1,1995-11-28T00:00:00Z,NA,NA
Q1,1995-12-05T00:00:00Z,0.42,NA
Q1,1995-12-12T00:00:00Z,NA,NA
Q1,1995-12-19T00:00:00Z,1.36,NA
Q1,1995-12-26T00:00:00Z,1.18,NA
Q1,1996-01-02T00:00:00Z,1.1,NA
Q1,1996-01-09T00:00:00Z,1.21,NA
Q1,1996-01-16T00:00:00Z,1.43,NA
Q1,1996-01-23T00:00:00Z,1.07,NA
Q1,1996-01-30T00:00:00Z,0.95,NA
Q1,1996-02-06T00:00:00Z,0.96,NA
Q1,1996-02-13T00:00:00Z,0.9,NA
Q1,1996-02-20T00:00:00Z,1.02,NA
Q1,1996-02-27T00:00:00Z,0.91,NA
Q1,1996-03-05T00:00:00Z,1.1,NA
Q1,1996-03-12T00:00:00Z,1.38,NA
Q1,1996-03-19T00:00:00Z,1.01,NA
Q1,1996-03-26T00:00:00Z,0.91,NA
Q1,1996-04-02T00:00:00Z,1.06,NA
Q1,1996-04-09T00:00:00Z,1.03,NA
Q1,1996-04-16T00:00:00Z,1.11,NA
Q1,1996-04-23T00:00:00Z,0.93,NA
Q1,1996-04-30T00:00:00Z,1.69,NA
Q1,1996-05-07T00:00:00Z,1.23,NA
Q1,1996-05-14T00:00:00Z,1.39,NA
Q1,1996-05-21T00:00:00Z,0.91,NA
Q1,1996-05-28T00:00:00Z,1.08,NA
Q1,1996-06-04T00:00:00Z,1.15,NA
Q1,1996-06-11T00:00:00Z,1.03,NA
Q1,1996-06-18T00:00:00Z,1.27,NA
Q1,1996-06-25T00:00:00Z,0.9,NA
Q1,1996-07-02T00:00:00Z,1.14,NA
Q1,1996-07-09T00:00:00Z,1.41,NA
